일련번호,인증번호,인증일자,회사명,제품,등급,시험번호,S/W분류,제품 설명,총WD,재계약,특이사항,"시작날짜/
종료날짜",시험원
1,01-0001,2001.7.25,삼성에스디에스㈜,"EasyBase v4.1
(서비스 중지)",-,,데이터베이스 SW-DB리포팅,"EasyBase는 데이터베이스와 SAP R/3의 정보를 Client-Server 와 Web 환경에서 다양하게 분석하고 쉽게 리포팅할 수 있는 데이터 분석 및 리포팅 툴입니다. EasyBase는 쉽고 간단한 정보 검색, 질의가 가능한 Query 기능, 강력한 집계 처리, 통계를 위한 Cross Tab 기능, 다양한 보고서 작성을 위한 Reporting 기능, 사용자 뷰 설정, 사용자 관리, Business Rule 설정이 가능한 Catalog 기능 등을 갖추고 있습니다. ",,,,,
2,01-0002 (02-0027),2001.10.22,제이엔에스 소프트,3DM Survey System v.1.0,-,,임베디드 SW-기타,"제이엔에스의 3DM Survey System 1.0은 휴대가 간편한 PDA와 토목용 측정 장비인 광파기를 사용하여 선박의 건조시 구조물들의 조립 및 형상 파악을 3차원적 기법으로, 즉시 생산현장에서 측정 및 해석하여 정도 향상 및 lead time을 줄여 생산성 향상을 극대화 하기 위한 조선전용 구조물 측정 및 해석 프로그램 


",,,,,
3,01-0003,2001.11.27,㈜싸이웍스,CyberWALL 2000 v2.16,-,GS-01-004,보안용 SW-PC보안,"고속통신회선의 빠른 보급과 인터넷 문화의 확산으로 개인 네트워크에 대한 해킹 위협 또한 나날이 높아가고 있습니다. 
CyberWALL2000은 이런 류의 해킹에 대비할 수 있도록 (주)싸이웍스에서 국내 최초로 독자 개발한 개인PC용 방화벽 소프트웨어입니다. 
CyberWALL2000은 기존 개발된 여타의 방화벽 솔루션들과 달리, 부담없는 가격으로 구입할 수 있으며, 누구라도 간단히 설치하고 쉽게 사용할수 있는 소프트웨어입니다.",,,,,
4,01-0004,2001.11.27,㈜테크다임,Jword V.1.5,-,,사무용 SW-워드프로세서,"테크다임 오피스1.5의 워드프로세서인 JWord1.5는 자바 및 XML 기반의 인터넷 워드프로세서로서 한 페이지에서 여러 종류의 다단 편집이 가능하고 강력한 테이블의 생성과 편집기능, 다양한 도형의 3차원 편집, 화려한 이미지 프로세싱, 그리고 한 문서 내에서 형식이 다른 여러 페이지의 지원 등 기존의 워드프로세서를 능가하는 강력한 기능을 제공합니다. 따라서 규격화된 각종 양식이 필요한 비즈니스 문건이나 고도의 편집기능이 요구되는 잡지, 신문 등의 고급 문서 편집작업에 이르기까지 광범위하게 활용할 수 있습니다.",,,,,
5,01-0005,2001.11.27,㈜다보넷,Touchsign V 2.1,-,,보안용 SW-기타,"비밀번호의 불법 도용으로 인한 여러가지 문제를 해결하고자 개발된 생체인증 시스템 인터넷을 통해 생체정보(지문)을 등록, 삭제 관리할 수 있 으며 인증이 필요한 모든 영역에 적용이 가능합니다. 
최근 널리 보급되고 있는 지문인식기(마우스-반도체식, 광학식, 박막식 등) 를 통해 최초 한 번만 지문을 등록하면, 이후의 로그인시 문자로된 비밀번호 대신 마우스를 통해 입력된 지문에 대해 매칭인증을 거쳐 로그인됩니다.",,,,,
6,01-0006,2001.12.27,㈜로지스인포,키퍼엣홈 V1.0,-,GS-01-007,보안용 SW-기타,"자녀의 컴퓨터 중독 방지를 위해 개발된 Keeper@Home은 다양한 기능들을 통하여 자녀를 컴퓨터 중독으로부터 보호합니다. Keeper@Home은 일반 키보드와는 차별화 되어 있는 전용 키보드와 자체 프로그램 보호 기능을 내장하고 있는 소프트웨어 한 세트로 구성되어 있습니다. 
부속된 키보드는 80개의 사이트를 마음대로 등록하여 쓸 수 있는 인터넷 바로가기 키와 자주 쓰는 프로그램들의 단축키가 내장되어 있는 특수기능패드, 그리고 손쉽게 볼륨 조절을 가능케 해 주는 볼륨 업/다운 및 뮤트 버튼 등은 장시간의 컴퓨터 사용을 요하는 사용자에게 보다 나은 컴퓨팅 환경을 제공해 드립니다. ",,,,,
7,"02-0001
(02-0029)",2002.1.29,"㈜미래에듀테크
(제이슨테크로 합병)",아이버스 v1.0,-,,교육용 SW-오프라인교수학습,"영, 유아용 학습기자재로 기존의 일반 PC에 연결하여 사용하는 다양한 H/W와 이와 연동하는 CD-ROM을 통해 영어, 숫자, 한글 등의 학습과 놀이를 부모의 도움 없이 영, 유아들이 혼자서 또는 여럿이 할 수 있으며, 영, 유아들이 직접 인터넷까지 할 수 있도록 배려하고 ON-LINE상에도 다양한 Contents를 갖추고 있습니다.
",,,,,
8,02-0002,2002.2.16,㈜마크애니,Document Safer V 1.0,-,,보안용 SW-디지털콘텐츠보안,"지식자산 보호 솔루션Document SAFER)은 기업 내부 중요 문서 정보가 Floppy 디스켓, CD, email 등으로 외부 유출되는 것을 원천적으로 방지하는 솔루션 ",,,,,
9,02-0003,2002.02.16,"㈜핸디소프트 
(구:㈜핸디소프트)","BizFlow Groupware V3.2
(서비스 중지)",-,,기업용 SW-그룹웨어(Groupware),"BizFlow Groupware는 전자우편, 전자결제, 전자게시판, 문서함, 일정관리, 공유설비 예약, 명함관리, 통계 및 현황조회, 전자 회의 기능 등 대부분의 사무 작업들을 전자적으로 가능케 하는 대표적인 제품 BizFlow Groupware 는 다양한 하드웨어와 OS들을 통합할 수 있는 JAVA 표준을 선택한 순수 웹기반 제품으로, 별도의 사용자 프로그램 없이도 익스플로러 같은 웹 브라우저만으로 모든 업무를 수행 가능케 함으로써, 사용자로 하여금 업무 처리를 위한 시간적/ 공간적 제약으로부터 완전히 자유롭게 합니다. 핸디소프트는 우선 국내 부문에서 이미 입증된 기술력과 영업력을 이용하여 전자정부 구현을 선언한 정부 정책에 호응함으로써 정부 공공 시장에서의 확고한 시장 선점자로서의 위상을 높여가는 한편, 민간 부문에서의 수요처 발굴에도 노력함으로써 높은 매출 신장도를 계속 유지해 가고 있습니다. 또한 우리나라와 인접한 일본과 중국시장 개척을 위해서도 적극 노력하여 그 가시적인 성과들을 기대하고 있습니다.",,,,,
10,02-0004,2002.2.27,㈜슈퍼테크놀러지,Eg columbus II V 1.0,-,,유틸리티 SW-기타,"교통사고와 관련한 실황 현황을 도식화하여 교통사고와 관련한 문서를 작성시 사용되며, 구성은 다양한 팔레트[차량, 도로, 신호등, 표지판 등 외 8]로 돼 있으며, 또한 실황 표현에 최적화를 기할 수 있도록 정보 재활용 및 저장, 열기, 미리보기, 인쇄 등의 제반기능을 이용하여 신속 정확하게 도식화하는 소프트웨어입니다.",,,,,
